entry_time,exit_time,signal,entry,exit,pnl,reason,bars_held
2025-01-10 15:45:00,2025-01-13 08:15:00,SELL,1.02502,1.0229192857142857,60.92071428571599,Stop Loss,66
2025-01-10 16:00:00,2025-01-13 08:15:00,SELL,1.02376,1.0230014285714286,21.239999999998815,Stop Loss,65
2025-01-10 16:15:00,2025-01-13 08:15:00,SELL,1.02318,1.02306,3.2399999999972455,Stop Loss,64
2025-01-10 16:30:00,2025-01-13 13:15:00,SELL,1.02308,1.0209685714285714,57.00857142857063,Stop Loss,83
2025-01-10 18:00:00,2025-01-13 06:00:00,SELL,1.02398,1.022395,69.73999999999769,Stop Loss,48
2025-01-10 18:15:00,2025-01-13 04:30:00,SELL,1.02397,1.0207807142857144,156.27499999999793,Take Profit,41
2025-01-10 18:30:00,2025-01-13 04:30:00,SELL,1.02408,1.0211657142857142,160.2857142857228,Take Profit,40
2025-01-10 20:00:00,2025-01-10 21:15:00,SELL,1.02415,1.0248071428571428,-55.20000000000457,Stop Loss,5
2025-01-10 20:15:00,2025-01-12 23:00:00,SELL,1.02403,1.0245864285714286,-48.965714285714064,Stop Loss,11
2025-01-10 21:45:00,2025-01-12 22:45:00,SELL,1.02448,1.0243892857142856,10.885714285739923,Stop Loss,4
2025-01-13 03:00:00,2025-01-13 03:30:00,SELL,1.02337,1.0220842857142856,162.00000000000614,Take Profit,2
2025-01-13 03:15:00,2025-01-13 03:45:00,SELL,1.02276,1.021402857142857,164.21428571428297,Take Profit,2
2025-01-13 03:30:00,2025-01-13 05:30:00,SELL,1.02171,1.0215628571428572,16.921428571408104,Stop Loss,8
2025-01-13 03:45:00,2025-01-13 05:30:00,SELL,1.02149,1.0215921428571428,-11.1335714285683,Stop Loss,7
2025-01-13 04:15:00,2025-01-13 05:30:00,SELL,1.02148,1.0215835714285715,-11.49642857144051,Stop Loss,5
2025-01-13 04:45:00,2025-01-13 05:45:00,SELL,1.02115,1.0219742857142857,-89.8471428571437,Stop Loss,4
2025-01-13 06:15:00,2025-01-13 07:30:00,SELL,1.02168,1.021397142857143,30.26571428570213,Stop Loss,5
2025-01-13 07:15:00,2025-01-13 07:45:00,SELL,1.02078,1.021677857142857,-99.66214285713382,Stop Loss,2
2025-01-13 07:30:00,2025-01-13 07:45:00,SELL,1.02121,1.0221582142857142,-98.61428571428023,Stop Loss,1
2025-01-13 08:30:00,2025-01-13 09:15:00,SELL,1.02192,1.0198682142857143,162.09107142856703,Take Profit,3
